Domain,Career,Interest_Score,Realistic,Investigative,Artistic,Social,Enterprising,Conventional
Agriculture and related,Agricultural Engineer,0.5,1.0,1.5,0.0,0.0,0.5,0.0
Agriculture and related,Food Technologist,0.5,1.5,1.0,0.0,0.0,0.5,0.0
Agriculture and related,Civil Engineer - Irrigation,0.5,1.5,1.0,0.0,0.0,0.5,0.0
Agriculture and related,Chemical Engineer - Fertilizers,0.5,1.0,1.5,0.0,0.0,0.5,0.0
Agriculture and related,Agriculture Engineering Technician,0.5,1.5,1.0,0.0,0.0,0.0,0.5
Agriculture and related,Diary Maintanance Mechanic,0.5,1.5,0.5,0.0,0.0,0.0,1.0
Agriculture and related,Solar Pump Technician,0.5,1.5,0.5,0.0,0.0,0.0,1.0
Agriculture and related,Micro Irrigation Technician,0.5,1.5,0.5,0.0,0.0,0.0,1.0
Agriculture and related,Agronomy and Forestry Technician,0.5,1.5,0.5,0.0,0.0,0.0,1.0
Agriculture and related,Artificial-breeding Technician,0.5,1.5,0.5,0.0,0.0,0.0,1.0
Agriculture and related,Agriculture Extension Supervisor,0.5,0.5,0.0,0.0,1.0,1.5,0.0
Agriculture and related,Agriculture Extension Service Provider,0.5,1.0,0.0,0.0,2.0,0.0,0.0
Agriculture and related,Agriculture Officer - Banking,0.5,0.5,0.0,0.0,2.0,0.0,0.5
Agriculture and related,Poultry Scientist,0.5,1.0,2.0,0.0,0.0,0.0,0.0
Agriculture and related,Agronomist,0.5,1.0,2.0,0.0,0.0,0.0,0.0
Agriculture and related,Diary Scientist,0.5,1.0,2.0,0.0,0.0,0.0,0.0
Agriculture and related,Pisciculturist ,0.5,1.0,2.0,0.0,0.0,0.0,0.0
Agriculture and related,Soil Scientist,0.5,1.0,2.0,0.0,0.0,0.0,0.0
Agriculture and related,Cultivator,0.5,1.5,0.0,0.0,0.0,0.5,1.0
Agriculture and related,Diary Farmer,0.5,1.5,0.0,0.0,0.0,0.5,1.0
Agriculture and related,Poultry Farmer,0.5,1.5,0.0,0.0,0.0,0.5,1.0
Agriculture and related,Aquaculturist,0.5,1.5,0.0,0.0,0.0,0.5,1.0
Agriculture and related,Sericulturist,0.5,1.5,0.0,0.0,0.0,0.5,1.0
Agriculture and related,Agricultural Inspector,0.5,1.0,0.0,0.0,0.0,0.0,2.0
Agriculture and related,Fisheries Inspector,0.5,1.0,0.0,0.0,0.0,0.0,2.0
Agriculture and related,Forest Guard,0.5,1.5,0.0,0.0,1.0,0.0,0.5
Agriculture and related,Farm Supervisor,0.5,0.5,0.0,0.0,0.0,2.0,0.5
Agriculture and related,Farm Manager,0.5,0.5,0.0,0.0,0.0,2.0,0.5
Agriculture and related,Veterinarian,0.5,1.0,1.5,0.0,0.5,0.0,0.0
Agriculture and related,Veterinary Assistant,0.5,2.0,0.5,0.0,0.5,0.0,0.0
Agriculture and related,Soil Laboratory Assistant,0.5,1.5,0.5,0.0,0.0,0.0,1.0
Armed Forces and Central police,Flying Officier (Fighter Pilot/ Helicoptor and Transport Pilot),0.5,1.5,1.0,0.0,0.0,0.5,0.0
Armed Forces and Central police,Officer (Ground Duty - Administrative) ,0.5,1.5,0.0,0.0,0.0,1.0,0.5
Armed Forces and Central police,Officer (Ground Duty - Technical),0.5,1.0,1.5,0.0,0.0,0.5,0.0
Armed Forces and Central police,Airmen(Group X - Technical),0.5,1.5,1.0,0.0,0.0,0.0,0.5
Armed Forces and Central police,Naval Officer (Engineering),0.5,1.0,1.5,0.0,0.0,0.5,0.0
Armed Forces and Central police,Naval Officer (Aviation),0.5,1.5,1.0,0.0,0.0,0.5,0.0
Armed Forces and Central police,Naval Officer (Logistics),0.5,1.5,0.0,0.0,0.0,1.0,0.5
Armed Forces and Central police,Naval Officer (Hydrographics),0.5,1.0,1.5,0.0,0.0,0.5,0.0
Armed Forces and Central police,Sailor,0.5,1.5,0.0,0.0,0.5,0.0,1.0
Armed Forces and Central police,Officer - Infantry,0.5,1.0,0.0,0.0,0.5,1.5,0.0
Armed Forces and Central police,Officer - Artillery,0.5,1.0,0.0,0.0,0.5,1.5,0.0
Armed Forces and Central police,Officer - Armoured Corps,0.5,1.0,0.0,0.0,0.5,1.5,0.0
Armed Forces and Central police,Officer - Technical,0.5,1.0,1.5,0.0,0.0,0.5,0.0
Armed Forces and Central police,Officer - Military Police,0.5,1.0,0.0,0.0,0.5,1.5,0.0
Armed Forces and Central police,Officer - Intelligence,0.5,0.0,1.0,0.5,0.0,1.5,0.0
Armed Forces and Central police,Havildar,0.5,1.0,0.0,0.0,0.5,1.5,0.0
Armed Forces and Central police,Soldier,0.5,1.0,0.0,0.0,0.5,0.0,1.5
Armed Forces and Central police,Soldier - Technical,0.5,1.5,1.0,0.0,0.0,0.0,0.5
Armed Forces and Central police,Constable,0.5,1.5,0.0,0.0,0.5,0.0,1.0
Armed Forces and Central police,Inspector,0.5,0.5,0.0,0.0,0.0,1.5,1.0
Armed Forces and Central police,Constable,0.5,1.5,0.0,0.0,0.5,0.0,1.0
Armed Forces and Central police,Inspector,0.5,0.5,0.0,0.0,0.0,1.5,1.0
Armed Forces and Central police,Constable,0.5,1.5,0.0,0.0,0.5,0.0,1.0
