Domain,Career,R,I,A,S,E,C
Agriculture and related,Agricultural Engineer,1.5,2.0,0.5,0.5,1.0,1.5
Agriculture and related,Food Technologist,1.0,1.0,1.0,1.0,1.0,1.0
Agriculture and related,Civil Engineer - Irrigation,1.5,2.0,0.5,0.5,1.0,1.5
Agriculture and related,Chemical Engineer - Fertilizers,1.5,2.0,0.5,0.5,1.0,1.5
Agriculture and related,Agriculture Engineering Technician,1.5,2.0,0.5,0.5,1.0,1.5
Agriculture and related,Diary Maintanance Mechanic,2.0,1.0,0.5,0.5,0.5,1.0
Agriculture and related,Solar Pump Technician,2.0,1.5,0.5,0.5,0.5,1.5
Agriculture and related,Micro Irrigation Technician,2.0,1.5,0.5,0.5,0.5,1.5
Agriculture and related,Agronomy and Forestry Technician,2.0,1.5,0.5,0.5,0.5,1.5
Agriculture and related,Artificial-breeding Technician,2.0,1.5,0.5,0.5,0.5,1.5
Agriculture and related,Agriculture Extension Supervisor,1.0,1.0,1.0,1.0,1.0,1.0
Agriculture and related,Agriculture Extension Service Provider,1.0,1.0,1.0,1.0,1.0,1.0
Agriculture and related,Agriculture Officer - Banking,1.5,1.0,0.5,1.5,1.5,1.5
Agriculture and related,Poultry Scientist,1.0,2.0,0.5,0.5,0.5,1.5
Agriculture and related,Agronomist,1.0,1.0,1.0,1.0,1.0,1.0
Agriculture and related,Diary Scientist,1.0,2.0,0.5,0.5,0.5,1.5
Agriculture and related,Pisciculturist ,1.0,1.0,1.0,1.0,1.0,1.0
Agriculture and related,Soil Scientist,1.0,2.0,0.5,0.5,0.5,1.5
Agriculture and related,Cultivator,1.0,1.0,1.0,1.0,1.0,1.0
Agriculture and related,Diary Farmer,1.0,1.0,1.0,1.0,1.0,1.0
Agriculture and related,Poultry Farmer,1.0,1.0,1.0,1.0,1.0,1.0
Agriculture and related,Aquaculturist,1.0,1.0,1.0,1.0,1.0,1.0
Agriculture and related,Sericulturist,1.0,1.0,1.0,1.0,1.0,1.0
Agriculture and related,Agricultural Inspector,1.0,1.0,1.0,1.0,1.0,1.0
Agriculture and related,Fisheries Inspector,1.0,1.0,1.0,1.0,1.0,1.0
Agriculture and related,Forest Guard,1.0,1.0,1.0,1.0,1.0,1.0
Agriculture and related,Farm Supervisor,1.0,1.0,1.0,1.0,1.0,1.0
Agriculture and related,Farm Manager,0.0,1.0,0.5,1.5,2.0,1.5
Agriculture and related,Veterinarian,1.0,1.0,1.0,1.0,1.0,1.0
Agriculture and related,Veterinary Assistant,0.5,0.5,0.5,1.5,1.0,1.5
Agriculture and related,Soil Laboratory Assistant,0.5,0.5,0.5,1.5,1.0,1.5
Armed Forces and Central police,Flying Officier (Fighter Pilot/ Helicoptor and Transport Pilot),1.0,1.0,1.0,1.0,1.0,1.0
Armed Forces and Central police,Officer (Ground Duty - Administrative) ,1.5,1.0,0.5,1.5,1.5,1.5
Armed Forces and Central police,Officer (Ground Duty - Technical),1.5,1.0,0.5,1.5,1.5,1.5
Armed Forces and Central police,Airmen(Group X - Technical),1.0,1.0,1.0,1.0,1.0,1.0
Armed Forces and Central police,Naval Officer (Engineering),1.5,2.0,0.5,0.5,1.0,1.5
Armed Forces and Central police,Naval Officer (Aviation),1.5,1.0,0.5,1.5,1.5,1.5
Armed Forces and Central police,Naval Officer (Logistics),1.5,1.0,0.5,1.5,1.5,1.5
Armed Forces and Central police,Naval Officer (Hydrographics),1.5,1.0,0.5,1.5,1.5,1.5
Armed Forces and Central police,Sailor,1.0,1.0,1.0,1.0,1.0,1.0
Armed Forces and Central police,Officer - Infantry,1.5,1.0,0.5,1.5,1.5,1.5
Armed Forces and Central police,Officer - Artillery,1.5,1.0,0.5,1.5,1.5,1.5
Armed Forces and Central police,Officer - Armoured Corps,1.5,1.0,0.5,1.5,1.5,1.5
Armed Forces and Central police,Officer - Technical,1.5,1.0,0.5,1.5,1.5,1.5
Armed Forces and Central police,Officer - Military Police,1.5,1.0,0.5,1.5,1.5,1.5
Armed Forces and Central police,Officer - Intelligence,1.5,1.0,0.5,1.5,1.5,1.5
Armed Forces and Central police,Havildar,1.0,1.0,1.0,1.0,1.0,1.0
Armed Forces and Central police,Soldier,1.0,1.0,1.0,1.0,1.0,1.0
Armed Forces and Central police,Soldier - Technical,1.0,1.0,1.0,1.0,1.0,1.0
Armed Forces and Central police,Constable,1.0,1.0,1.0,1.0,1.0,1.0
Armed Forces and Central police,Inspector,1.0,1.0,1.0,1.0,1.0,1.0
Armed Forces and Central police,Constable,1.0,1.0,1.0,1.0,1.0,1.0
Armed Forces and Central police,Inspector,1.0,1.0,1.0,1.0,1.0,1.0
Armed Forces and Central police,Constable,1.0,1.0,1.0,1.0,1.0,1.0
Armed Forces and Central police,Inspector,1.0,1.0,1.0,1.0,1.0,1.0
"Arts, Design, Creative",Architect,1.0,1.0,1.5,1.0,1.0,1.0
"Arts, Design, Creative",Fashion Designer,1.0,1.0,2.0,1.0,1.5,0.5
"Arts, Design, Creative",Footwear Designer,1.0,1.0,2.0,1.0,1.5,0.5
"Arts, Design, Creative",Textile Designers,1.0,1.0,2.0,1.0,1.5,0.5
"Arts, Design, Creative",Furniture Designer,1.0,1.0,2.0,1.0,1.5,0.5
"Arts, Design, Creative",Gemologist,1.0,1.0,1.5,1.0,1.0,1.0
"Arts, Design, Creative",Jewellery Designer,1.0,1.0,2.0,1.0,1.5,0.5
"Arts, Design, Creative",Graphics Designer,1.0,1.0,2.0,1.0,1.5,0.5
"Arts, Design, Creative",Interior Designer,1.0,1.0,2.0,1.0,1.5,0.5
"Arts, Design, Creative",Illustrator,1.0,1.0,1.5,1.0,1.0,1.0
"Arts, Design, Creative",Film Animator,1.0,1.0,1.5,1.0,1.0,1.0
"Arts, Design, Creative",Photographer,1.5,1.0,2.0,1.0,1.0,0.5
"Arts, Design, Creative",Product Designer,1.0,1.0,2.0,1.0,1.5,0.5
"Arts, Design, Creative",User Experience Designer,1.0,1.0,2.0,1.0,1.5,0.5
"Arts, Design, Creative",Painter,1.0,1.0,1.5,1.0,1.0,1.0
"Arts, Design, Creative",Author,1.0,1.0,1.5,1.0,1.0,1.0
"Arts, Design, Creative","Scriptwriter, Screenplay Writer",0.0,1.5,2.0,1.0,1.0,0.5
"Arts, Design, Creative",Advertising Copywriter,0.0,1.5,2.0,1.0,1.0,0.5
"Arts, Design, Creative",Videography,1.0,1.0,1.5,1.0,1.0,1.0
"Arts, Design, Creative",Sculptor,1.0,1.0,1.5,1.0,1.0,1.0
"Arts, Design, Creative",Singer - Classical Indian,1.0,1.0,1.5,1.0,1.0,1.0
"Arts, Design, Creative",Actor (Film & Stage),1.0,1.0,1.5,1.0,1.0,1.0
"Arts, Design, Creative",Musical Instrument Maker,1.0,1.0,1.5,1.0,1.0,1.0
Banking & Finance,Company Secretary,0.0,0.5,0.5,1.5,1.5,2.0
Banking & Finance,Cost Accountant,0.0,1.5,0.0,1.0,1.5,2.0
Banking & Finance,Accountant,0.0,1.5,0.0,1.0,1.5,2.0
Banking & Finance,Financial Planners,1.0,1.0,1.0,1.0,1.5,1.5
Banking & Finance,Actuary,1.0,1.0,1.0,1.0,1.5,1.5
Banking & Finance,Tax consultant,0.0,1.5,0.5,1.5,2.0,1.5
Banking & Finance,Auditor,1.0,1.0,1.0,1.0,1.5,1.5
Banking & Finance,Budget Analyst,0.0,2.0,0.5,1.0,1.5,2.0
Banking & Finance,Cashier/Teller,1.0,1.0,1.0,1.0,1.5,1.5
Banking & Finance,Bank Clerk,0.0,0.5,0.0,1.5,1.0,2.0
Banking & Finance,Bank Probationary Officer,1.5,1.0,0.5,1.5,2.0,2.0
Banking & Finance,Insurance Officer,1.5,1.0,0.5,1.5,2.0,2.0
Banking & Finance,Insurance Agent,1.0,1.0,1.0,1.0,1.5,1.5
Banking & Finance,Bank Manager,0.0,1.0,0.5,1.5,2.0,2.0
Banking & Finance,Insurance Manager,0.0,1.0,0.5,1.5,2.0,2.0
